曲谱名称,琴谱来源,定弦,琴曲来源,演奏者,打谱/记谱者
好了歌,古琴名师琴谱集录,,,,
客至,古琴名师琴谱集录,,,,
求索,古琴名师琴谱集录,,,,
秋江夜泊,古琴名师琴谱集录,,,,
红楼梦,古琴名师琴谱集录,,,,
越人歌,古琴名师琴谱集录,,,,
黄鹤楼,古琴名师琴谱集录,,,,
北塞上鸿,古琴秘谱遗存_第一卷,1=F,兰田馆琴谱,许光毅,许光毅
庄周梦蝶,古琴秘谱遗存_第一卷,1=C,琴学入门,许光毅,许光毅
扶仙游,古琴秘谱遗存_第一卷,1=G,琴学入门,许光毅,许光毅
春山听杜鹃,古琴秘谱遗存_第一卷,1=bE,琴学入门,许光毅,许光毅
松下观涛,古琴秘谱遗存_第一卷,1=F,研露楼琴馆,许光毅,许光毅
洞天春晓,古琴秘谱遗存_第一卷,1=F,自远堂琴谱,许光毅,许光毅
苍梧怨,古琴秘谱遗存_第一卷,1=F,自远堂琴谱,许光毅,许光毅
苍江夜雨,古琴秘谱遗存_第一卷,1=F,兰田馆琴谱 金陵吴官心传,许光毅,许光毅
读经,古琴秘谱遗存_第一卷,1=F,兰田馆琴谱,许光毅,许光毅
双鹤听泉,古琴考级曲集1,1=F 正调定弦,卧云楼琴谱,詹澄秋,许健
古琴吟,古琴考级曲集1,1=C 正调定弦,琴学入门,陈尧庭,许健
孔子读易,古琴考级曲集1,1=F 正调定弦,天闻阁琴谱,喻绍泽,曾成伟
归去来辞,古琴考级曲集1,1=C 正调定弦,真传正宗琴谱,刘景韶,刘景韶 刘善教
慨古吟,古琴考级曲集1,1=C 正调定弦,清末龚光表、俞味莼传 査阜西授,,李祥霆
映山红,古琴考级曲集1,1=F 正调定弦,傅庚辰曲,,龚一
普庵咒,古琴考级曲集1,1=F 正调定弦,北京琴会谱,溥雪斋,
极乐吟,古琴考级曲集1,1=bB 紧五弦定弦,梅庵琴谱,,
楚歌,古琴考级曲集1,1=bB 紧二五弦定弦,神奇秘谱,,姚丙炎
沧海龙吟,古琴考级曲集1,1=F 正调定弦,琴谱谐声,乐瑛,王迪
泣颜回,古琴考级曲集1,1=bB 紧五弦定弦,今虞琴刊,徐元白,许健
洞庭秋思,古琴考级曲集1,1=G 正调定弦,査阜西合参谱,,成公亮
清夜吟,古琴考级曲集1,1=C 正调定弦,徽言秘旨,汪孟舒,王迪
满江红,古琴考级曲集1,1=F 正调定弦,古曲,,李禹贤
玉楼春晓,古琴考级曲集1,1=bB 紧五弦定弦,梅庵琴谱,陈心圆,王迪
石上流泉,古琴考级曲集1,1=F 正调定弦,琴学入门,詹澄秋,王迪
碧涧流泉,古琴考级曲集1,1=F 正调定弦,古冈遗谱,张新伦,写导秀
神人畅,古琴考级曲集1,1=F 正调定弦,西麓堂琴统,,龚一
秋夜长,古琴考级曲集1,1=F 正调定弦,梅庵琴谱,刘景韶,刘善教
精忠词,古琴考级曲集1,1=F 正调定弦,治心斋琴学练要,,站子谦 樊伯炎
获麟操,古琴考级曲集1,1=G 慢一三六定弦,风宣玄品,管平湖,王迪
醉渔唱晚,古琴考级曲集1,1=C 正调定弦,卫仲乐传谱,,
长清,古琴考级曲集1,1=C 正调定弦,风宣玄品,,管平湖 王迪
韦编三绝,古琴考级曲集1,1=C 正调定弦,贾阔峰传谱,乐瑛,王迪
风雷引,古琴考级曲集1,1=C 慢三弦定弦,梅庵琴谱,管平湖,王迪
佩兰,古琴考级曲集2,1=C 正调定弦,天闻阁琴谱,喻绍泽,曾成伟
天风环佩,古琴考级曲集2,1=C 正调定弦,风宣玄品,管平湖,王迪
孤馆遇神,古琴考级曲集2,1=G 慢三六弦定弦,西麓堂琴统,,姚丙炎 姚公白
渔歌,古琴考级曲集2,1=F 正调定弦,五知斋琴谱,,吴景略
风云际会,古琴考级曲集2,1=C 正调定弦,琴学入门,,李禹贤
龙朔操,古琴考级曲集2,1=bB 紧五慢一定弦,神奇秘谱,,陈长林 许健
墨子悲丝,古琴考级曲集3,1=C 正调定弦,五知斋琴谱,,吴景略
楼兰散,古琴考级曲集3,1=bB 紧五弦定弦,金湘 曲,,
离骚,古琴考级曲集3,1=bB 紧二五弦定弦,神奇秘谱,,管平湖 李祥霆
秋塞吟,古琴考级曲集3,1=F 正调定弦,五知斋琴谱,吴景略,许健
阳春,古琴考级曲集3,1=F 正调定弦,诚一堂琴谱,吴景略,许健
关山月,古琴考级经典作品示范,1=F 正调定弦,梅庵琴谱,管平湖,管平湖
凤求凰,古琴考级经典作品示范,1=C 正调定弦,梅庵琴谱,,李祥霆
山居吟,古琴考级经典作品示范,1=F 正调定弦,蕉庵琴谱,赵少椿,赵烨
平沙落雁,古琴考级经典作品示范,1=F 正调定弦,学琴丛书,管平湖,管平湖
忆故人,古琴考级经典作品示范,1=C 正调定弦,今虞琴刊,,彭祉卿
春晓吟,古琴考级经典作品示范,1=F 正调定弦,自远堂琴谱,管平湖,王迪
梅花三弄,古琴考级经典作品示范,1=F 正调定弦,琴箫合谱——琴谱谐声,吴景略,吴景略 许健
梧叶舞秋风,古琴考级经典作品示范,1=F 正调定弦,蕉庵琴谱,赵少椿,赵烨
欸乃,古琴考级经典作品示范,1=bB 紧五弦定弦,天闻阁琴谱,,管平湖
渔樵问答,古琴考级经典作品示范,1=F 正调定弦,琴学入门,,吴景略 许健
湘妃怨,古琴考级经典作品示范,1=C 正调定弦,琴书大全,,吴宗汉
秋风词,古琴考级经典作品示范,1=C 正调定弦,梅庵琴谱,王吉儒,王吉儒
良宵引,古琴考级经典作品示范,1=F 正调定弦,自远堂琴谱,,龚一
茉莉花,古琴考级经典作品示范,1=C 正调定弦,江苏民歌,,陈长林
酒狂,古琴考级经典作品示范,1=F 正调定弦,神奇秘谱,,姚丙炎
长门怨,古琴考级经典作品示范,1=F 正调定弦,梅庵琴谱,徐立孙,徐立孙
阳关三叠,古琴考级经典作品示范,1=bB 紧五弦定弦,琴学入门,管平湖,管平湖
雉朝飞,古琴考级经典作品示范,1=F 正调定弦,神奇秘谱,,陈长林
鸥鹭忘机,古琴考级经典作品示范,1=F 正调定弦,自远堂琴谱,査阜西,许健
